Countryof Origin (2) ,"Most recent year,2015", ,1965 (3),1966 (3),1967 (3),1968 (3),1969 (3),1970 (3),1971 (3),1972 (3),1973 (3),1974 (3),1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Region
Afghanistan,   ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,  1     ,  1     ,   ,  1     ,   ,   ,   ,Asia
Albania,  1     ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,  1     ,  1     ,   ,   ,   ,   ,   ,  2     ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,  1     ,   ,   ,   ,   ,  1     ,  1     ,Europe
Algeria,  2     ,     ,  ,  1     ,   ,   ,  2     ,   ,  1     ,   ,   ,   ,  1     ,  1     ,  1     ,  1     ,   ,   ,   ,   ,   ,   ,   ,  1     ,  1     ,  1     ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,  1     ,   ,  1     ,  2     ,  1     ,   ,   ,  3     ,  3     ,  2     ,   ,   ,   ,   ,  2     ,  2     ,  1     ,  2     ,Africa
Andorra,  2     ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,   ,   ,  1     ,   ,  3     ,   ,  1     ,   ,  1     ,  2     ,  3     ,  3     ,  1     ,  2     ,  2     ,  5     ,  4     ,   ,  2     ,  5     ,  4     ,  5     ,  3     ,  2     ,Europe
Angola,  1     ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  2     ,  1     ,   ,  2     ,  1     ,Africa
Anguilla,   ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  2     ,   ,  1     ,   ,   ,  1     ,   ,   ,   ,   ,   ,   ,  3     ,   ,   ,   ,   ,  1     ,   ,Caribbean
Antigua And Barbuda,  1     ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  4     ,  1     ,  2     ,  4     ,  0     ,  1     ,   ,   ,   ,   ,   ,   ,  1     ,  2     ,  2     ,   ,   ,  1     ,  4     ,   ,  2     ,  1     ,   ,  1     ,Caribbean
Argentina,  159   ,     , 53    ,  40    ,  35    ,  45    ,  41    ,  52    ,  49    ,  54    ,  44    ,  50    ,  44    ,  52    ,  51    ,  61    ,  62    ,  56    ,  55    ,  35    ,  35    ,  40    ,  39    ,  56    ,  42    ,  32    ,  32    ,  56    ,  59    ,  59    ,  56    ,  75    ,  65    ,  78    ,  77    ,  119   ,  96    ,  137   ,  137   ,  95    ,  125   ,  103   ,  94    ,  117   ,  150   ,  138   ,  146   ,  134   ,  156   ,  141   ,  160   ,  126   ,  159   ,South America
Armenia,  18    ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  1     ,   ,   ,  1     ,   ,  1     ,  1     ,   ,  4     ,  2     ,  1     ,   ,   ,  3     ,  8     ,  5     ,  6     ,  3     ,  9     ,  8     ,  10    ,  16    ,  18    ,  18    ,Asia
Aruba,   ,     ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  3     ,  1     ,   ,   ,   ,  1     ,   ,   ,   ,   ,  1     ,   ,   ,   ,  1     ,   ,  2     ,   ,   ,  1     ,   ,North America
